City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,sisimiut,66.9395,-53.6735,24.13,75,37,8.95,GL,1697339059
259,kupang,-10.1667,123.5833,93.78,46,20,18.41,ID,1697339059
260,paramonga,-10.6667,-77.8333,66.13,88,100,8.05,PE,1697339059
261,san juan de los lagos,21.25,-102.3,67.98,61,86,9.44,MX,1697339060
262,tsiombe,-25.3,45.4833,70.97,88,8,4.65,MG,1697339060
263,madang,-5.2246,145.7966,86.04,67,95,6.46,PG,1697339060
264,carutapera,-1.195,-46.02,79.63,76,48,7.14,BR,1697339060
265,carnarvon,-24.8667,113.6333,83.53,40,0,6.87,AU,1697338814
266,damavand,35.7178,52.065,49.78,66,0,2.84,IR,1697339060
267,semera,11.501,41.201,75.24,65,1,7.07,ET,1697339060
268,luanda,-8.8368,13.2343,73.4,94,75,3.44,AO,1697339061
269,kandry,54.5667,54.1167,47.28,70,100,15.37,RU,1697339061
270,tevriz,57.509,72.4042,40.41,84,100,5.91,RU,1697339061
271,xining,36.6167,101.7667,47.84,34,0,1.88,CN,1697339061
272,amarante,-6.2411,-42.8547,86.97,36,100,1.41,BR,1697339061
273,lebanon,36.2081,-86.2911,57.79,92,100,5.75,US,1697339027
274,chinde,26.8418,88.0763,68.31,69,11,2.8,NP,1697339061
275,sambava,-14.2667,50.1667,75.61,90,70,1.7,MG,1697339061
276,coahuayana de hidalgo,18.7,-103.6583,79.27,91,99,0.67,MX,1697339062
277,ishim,56.1128,69.4902,37.04,92,12,8.99,RU,1697339062
278,keflavik,64.0049,-22.5624,43.23,100,100,17.27,IS,1697339062
279,kavieng,-2.5744,150.7967,83.89,71,39,0.51,PG,1697339062
280,pathein,16.7833,94.7333,83.84,75,8,5.46,MM,1697339062
281,mocajuba,-2.5842,-49.5072,78.6,80,98,2.93,BR,1697339062
282,brisas de zicatela,15.8369,-97.0419,81.12,61,75,0.0,MX,1697339062
283,itoman,26.1247,127.6694,82.42,65,75,18.41,JP,1697339062
284,atchison,39.563,-95.1216,52.5,87,100,10.47,US,1697339062
285,pestravka,52.405,49.9583,47.61,76,87,11.5,RU,1697339062
286,puerto baquerizo moreno,-0.9,-89.6,74.64,84,46,12.17,EC,1697338810
287,saldanha,-33.0117,17.9442,64.45,76,96,7.29,ZA,1697339063
288,luderitz,-26.6481,15.1594,54.63,96,17,2.1,NA,1697339063
289,grootfontein,-19.5667,18.1167,74.77,19,90,5.75,NA,1697339063
290,petrovsk-zabaykal'skiy,51.273,108.843,40.28,51,15,4.0,RU,1697339026
291,al mindak,20.1588,41.2834,62.2,42,0,3.42,SA,1697339063
292,alice springs,-23.7,133.8833,81.95,11,0,10.36,AU,1697339063
293,port saint john's,-31.6229,29.5448,62.29,70,100,6.76,ZA,1697339063
294,elin-yurt,43.6731,44.9589,49.01,79,0,5.73,RU,1697339063
295,turaif,31.6725,38.6637,62.85,59,0,9.22,SA,1697338950
296,oeiras do para,-2.0031,-49.8544,79.92,73,64,5.75,BR,1697339063
297,ca mau,9.1769,105.15,84.72,76,100,7.81,VN,1697339063
298,duba,27.3513,35.6901,78.42,53,0,7.25,SA,1697338959
299,snyder,32.7179,-100.9176,59.34,36,0,0.0,US,1697339064
300,anadyr,64.75,177.4833,34.3,93,75,6.71,RU,1697339064
301,fortaleza,-3.7227,-38.5247,81.21,78,75,14.97,BR,1697338836
302,dalandzadgad,43.5708,104.425,58.55,22,12,7.85,MN,1697339064
303,roma,43.2128,-75.4557,48.96,86,0,0.0,US,1697339064
304,man,7.4125,-7.5538,70.47,98,76,0.43,CI,1697339064
305,asau,46.4333,26.4,51.28,65,3,6.2,RO,1697339064
306,nouna,12.7333,-3.8667,81.81,49,50,5.37,BF,1697339065
307,luba,3.4568,8.5547,75.09,85,89,3.42,GQ,1697339065
308,namtsy,62.7161,129.6658,21.04,58,16,9.73,RU,1697339065
309,inhambane,-23.865,35.3833,67.78,77,75,9.33,MZ,1697339066
310,andalgala,-27.5819,-66.3165,64.36,31,0,1.7,AR,1697338853
311,aasiaat,68.7098,-52.8699,25.83,79,100,3.58,GL,1697339066
312,aras-asan,8.8908,126.3033,83.34,76,84,4.0,PH,1697339066
313,fisterra,42.9049,-9.2629,59.76,84,100,8.14,ES,1697339066
314,torghay,49.6339,63.4981,45.64,72,74,6.76,KZ,1697339066
315,fortuna,40.5982,-124.1573,59.94,93,0,0.0,US,1697339066
316,port douglas,-16.4833,145.4667,77.65,61,34,7.78,AU,1697339067
317,novo aripuana,-5.1206,-60.3797,78.64,72,53,1.12,BR,1697339067
318,ola,59.5833,151.2833,37.15,59,100,0.74,RU,1697339067
319,quelimane,-17.8786,36.8883,80.55,94,75,8.05,MZ,1697339067
320,arno,60.1167,18.6333,45.79,71,100,14.34,SE,1697339067
321,mulayjah,27.271,48.4242,81.55,27,0,7.63,SA,1697339067
322,san luis,-33.295,-66.3356,62.11,32,1,9.35,AR,1697339067
323,ciudad choluteca,13.3003,-87.1908,77.83,94,13,1.07,HN,1697338869
324,christchurch,-43.5333,172.6333,66.42,46,1,25.32,NZ,1697339048
325,harper,4.375,-7.7169,77.02,90,95,6.62,LR,1697339067
326,rzhaksa,52.1338,42.0264,48.58,93,33,12.26,RU,1697339068
327,isla vista,34.4133,-119.861,73.31,75,0,5.14,US,1697338810
328,dunedin,-45.8742,170.5036,57.79,52,91,3.0,NZ,1697338881
329,isafjordur,66.0755,-23.124,37.04,98,100,9.57,IS,1697339068
330,douglas,41.3,-96.167,49.6,90,100,8.05,US,1697338976
331,sao joao da barra,-21.6403,-41.0511,70.57,90,100,5.46,BR,1697339068
332,santa elena,-2.2333,-80.85,72.63,82,72,7.96,EC,1697339068
333,winnemucca,40.973,-117.7357,57.25,35,0,4.61,US,1697338806
334,douz,33.4663,9.0203,68.34,36,0,2.08,TN,1697339068
335,nampa,43.5407,-116.5635,64.67,48,0,4.61,US,1697338985
336,novoukrainskoye,45.3783,40.5297,54.84,47,0,7.47,RU,1697339068
337,careiro da varzea,-3.2003,-59.8119,81.21,59,20,2.59,BR,1697339069
338,susuman,62.7833,148.1667,14.99,83,100,1.99,RU,1697339069
339,sola,-13.8833,167.55,83.07,84,75,5.75,VU,1697339069
340,fale old settlement,-9.3852,-171.2468,83.43,77,67,21.52,TK,1697339069
341,las veredas,23.1388,-109.7075,80.11,74,0,5.75,MX,1697339067
342,humaita,-7.5061,-63.0208,82.9,58,82,3.04,BR,1697339069
343,lakatoro,-16.0999,167.4164,81.43,76,100,14.32,VU,1697339069
344,tolanaro,-25.0319,46.9987,71.67,94,75,4.61,MG,1697339069
345,murun-kuren,49.6342,100.1625,48.69,48,29,3.87,MN,1697339069
346,sirte,31.2089,16.5887,71.71,73,1,2.68,LY,1697339069
347,daru,-9.0763,143.2092,80.58,78,71,12.86,PG,1697339069
348,kalemie,-5.9475,29.1947,72.79,82,100,7.56,CD,1697339070
349,tofol,5.3248,163.0078,85.78,74,75,10.36,FM,1697339070
350,floro,61.5996,5.0328,46.36,66,75,25.32,NO,1697339070
351,narvik,68.4384,17.4272,35.01,79,100,3.8,NO,1697339070
352,sur,22.5667,59.5289,81.21,71,0,5.99,OM,1697339070
353,port alfred,-33.5906,26.891,60.62,80,100,3.42,ZA,1697339070
354,nantucket,41.2835,-70.0995,53.01,91,100,5.66,US,1697338892
355,newman,37.3138,-121.0208,72.28,57,67,1.01,US,1697339071
356,chernihiv,51.0,32.0,55.49,92,40,15.03,UA,1697339071
357,port nelson,23.6333,-74.8333,84.63,77,100,11.99,BS,1697339071
358,wynyard,-41.0,145.7167,54.54,59,98,12.95,AU,1697339071
359,yeed,4.55,43.0333,78.76,72,59,12.3,SO,1697339071
360,ulsteinvik,62.3432,5.8487,49.75,72,100,13.0,NO,1697339071
361,wiang sa,8.6359,99.3666,88.07,69,100,3.24,TH,1697338817
362,aleksandrovsk-sakhalinskiy,50.8975,142.1561,62.64,81,85,18.99,RU,1697339072
363,jedrzejow,50.6394,20.3045,51.37,92,100,1.01,PL,1697339073
